date,my_HML,my_SMB,FF_HML,FF_SMB
1997-06-30,1.4749677794643423,1.0578431206019367,1.58,    1.22
1997-05-31,-4.012863725054119,5.097078761894382,-4.13,    5.19
1997-04-30,-0.13387595549650377,-5.678557934369071,0.07,   -5.77
1997-03-31,3.4246917392002576,-0.41951290306978184,3.39,   -0.36
1997-02-28,5.746183940197931,-3.0864168949670217,5.67,   -3.22
1997-01-31,-1.6552169899956135,-1.8820071475058862,-1.42,   -1.95
1996-12-31,1.206930988360538,3.1748302768960666,1.31,    3.16
1996-11-30,1.431462238366986,-3.8695627261701566,1.39,   -4.02
1996-10-31,4.849097379131873,-4.440710502341524,4.94,   -4.44
1996-09-30,-2.7395612419873836,-0.9466379884212152,-2.72,   -0.98
1996-08-31,-0.8986476117416868,2.54908841153064,-0.74,    2.44
1996-07-31,5.153997960492017,-4.388748467503043,5.14,   -4.31
1996-06-30,2.4129223215604894,-4.062862978215093,2.35,   -4.01
1996-05-31,-0.9812712501404419,2.9994931603452306,-0.83,    3.17
1996-04-30,-3.97698292519407,5.26804454207171,-4.02,    5.23
1996-03-31,0.7810562150170397,1.5096144217901215,0.35,    1.49
1996-02-29,-1.1459455663787834,1.9544725385280515,-1.08,    1.79
1996-01-31,0.46109102122581963,-2.589601492410596,0.38,   -2.73
1995-12-31,0.4508138922719883,0.529091147695912,0.22,    0.70
1995-11-30,0.6389797238579014,-1.1763050584828176,0.51,   -1.09
1995-10-31,-0.3921339785739067,-3.909510170764082,-0.5,   -3.78
1995-09-30,-0.1064045427359113,-2.1014460926540504,-0.04,   -2.20
1995-08-31,2.9226767664410063,1.3170601768760453,2.79,    1.35
1995-07-31,-1.7574681346725198,2.0886479070646016,-1.62,    2.07
1995-06-30,-2.577378013426528,3.0811744111545916,-2.54,    3.18
1995-05-31,2.3073626616276592,-2.523524913835229,2.29,   -2.55
1995-04-30,1.5825814406600973,-0.4462987394996187,1.71,   -0.49
1995-03-31,-2.3429469103102436,-0.13494417743688536,-2.15,   -0.16
1995-02-28,0.953978012801153,-0.5731087162280997,1.08,   -0.66
1995-01-31,2.6231971417902353,-3.746141931059315,2.57,   -3.50
1994-12-31,-0.1553574277076208,0.28560852971377687,-0.13,    0.22
1994-11-30,-0.6915479249137226,0.24666783407071152,-0.7,    0.25
1994-10-31,-1.7480740038512292,-1.926898128003527,-1.62,   -2.24
1994-09-30,-1.746772555903408,3.031032982694945,-1.89,    3.14
1994-08-31,-2.535329741793663,1.578396636162336,-2.51,    1.45
1994-07-31,0.6195140404856584,-1.6207473136837538,0.58,   -1.81
1994-06-30,1.5593751470925392,-0.4686667922299572,1.67,   -0.41
1994-05-31,2.0682733943561225,-2.7046444087426442,0.67,   -2.15
1994-04-30,0.9790791821515664,-0.621925730576683,1.66,   -0.93
1994-03-31,1.8465330510142763,-1.2022335825130217,1.6,   -1.08
1994-02-28,-1.197907575030168,2.852624163925085,-1.54,    2.80
1994-01-31,2.181488315028303,-0.07409591765014031,1.15,    0.34
1993-12-31,0.413930083778033,1.2063222955770496,0.32,    1.23
1993-11-30,-0.5840631374059948,-1.5615203908045245,-0.74,   -1.25
1993-10-31,-2.854265359302531,2.0742568095297735,-2.76,    2.03
1993-09-30,0.7014096942650748,2.6964305943349873,-0.31,    3.04
1993-08-31,0.1695513804644208,0.1151572585612215,0.13,    0.13
1993-07-31,2.4864902793667736,0.8827421633005218,2.85,    0.96
1993-06-30,2.539061370168235,-0.4860551107395409,2.75,   -0.29
1993-05-31,-3.305921487059075,2.4742742244575506,-3.42,    2.04
1993-04-30,2.5679567290472716,-0.6592377799265435,2.49,   -0.67
1993-03-31,1.5954813537943395,0.5259577508563839,1.18,    0.24
1993-02-28,5.625630991007484,-3.2474121446887696,6.42,   -3.48
1993-01-31,6.595199956442752,1.2591040945187895,5.94,    1.89
1992-12-31,2.688391080489794,1.6212611698579096,2.62,    1.69
1992-11-30,-0.6311536127891106,3.389544371985039,-1.35,    3.76
1992-10-31,-1.3572467681576619,2.13899058935411,-1.98,    2.09
1992-09-30,-0.07571761949006287,0.7916036954891388,-0.26,    0.54
1992-08-31,-2.1216512860933414,0.37623768095584664,-1.1,   -0.13
1992-07-31,-1.554002067134215,0.06983395396919084,-0.56,   -0.47
1992-06-30,3.39173414057633,-3.120129938638953,3.24,   -3.07
1992-05-31,0.7676695073312173,0.5143840899371234,1.19,    0.41
1992-04-30,3.9105972448712953,-6.291491730422788,4.34,   -6.06
1992-03-31,3.508863848353024,-1.3243558944536455,3.56,   -1.04
1992-02-29,7.496610148359154,0.152764048876107,6.47,    0.87
1992-01-31,5.912053436231843,7.57942759499662,4.71,    8.46
1991-12-31,-3.2744819857638943,-1.9818235124712702,-4.17,   -2.24
1991-11-30,-2.742318254416223,-0.017295594722025603,-1.89,   -0.50
1991-10-31,-0.26735064520226615,0.8312243440072115,-0.47,    0.81
1991-09-30,-1.4257523391865627,1.79511933565016,-1.08,    1.64
1991-08-31,-0.5814144681925877,1.5912655261476587,-0.78,    1.58
1991-07-31,-1.049332168301853,-0.37989229970891647,-1.32,   -0.92
1991-06-30,0.7943256717454661,0.2891609183303063,1.15,    0.13
1991-05-31,0.3641983170200196,-0.5086287434650387,-0.52,   -0.40
1991-04-30,1.9989494966906902,0.5152066347677833,1.5,    0.48
1991-03-31,-0.5415215785882471,3.7537622157787496,-1.39,    3.93
1991-02-28,0.6643413145366123,3.459825017139166,-0.58,    3.95
1991-01-31,1.3471607129546024,3.018683661585232,-1.6,    3.81
1990-12-31,-0.8149663189574725,0.8027571349737296,-1.7,    0.81
1990-11-30,-0.624239571188423,-0.039881198547334074,-3.1,    0.43
1990-10-31,-2.590429730136545,-4.65294206434039,0.1,   -5.57
1990-09-30,-2.703267013920084,-2.7860458636321086,0.64,   -3.65
1990-08-31,1.2575554023968718,-3.5267935905394565,1.64,   -3.57
1990-07-31,-1.3694645991614185,-2.755601492614405,-0.03,   -3.12
1990-06-30,-2.1025059355634936,1.1184426549467186,-1.93,    1.40
1990-05-31,-3.414434441721902,-2.4737278269426595,-3.83,   -2.53
1990-04-30,-2.756749580626192,-0.16943417995277793,-2.59,   -0.46
1990-03-31,-2.969310332225893,1.528718086642281,-2.92,    1.50
1990-02-28,0.8903662261198809,0.9099820432083988,0.64,    0.99
1990-01-31,0.8590316437642326,-1.275958775591493,0.85,   -1.24
1989-12-31,-1.4680413761929405,-2.0493463907429113,0.16,   -2.36
1989-11-30,-2.1161937723888578,-0.9080675844776925,-1.09,   -1.24
1989-10-31,-1.9348762672621576,-2.965278053200955,-1.11,   -3.23
1989-09-30,-1.461286389221668,0.46834916856167486,-1.27,    0.32
